U.S. Natural Gas Citygate Price
https://www.eia.gov/dnav/ng/hist/n3050us3A.htm
12:03:03 GMT-0500 (Eastern Standard Time)
Data source: U.S. Energy Information Administration
Year,U.S. Natural Gas Citygate Price  Dollars per Thousand Cubic Feet
2021,6.02
2020,3.43
2019,3.81
2018,4.23
2017,4.16
2016,3.71
2015,4.26
2014,5.71
2013,4.88
2012,4.73
2011,5.63
2010,6.18
2009,6.48
2008,9.18
2007,8.16
2006,8.61
2005,8.67
2004,6.65
2003,5.85
2002,4.12
2001,5.72
2000,4.62
1999,3.1
1998,3.07
1997,3.66
1996,3.27
1995,2.78
1994,3.07
1993,3.21
1992,3.01
1991,2.9
1990,3.03
1989,3.01
1988,2.92
1987,2.87
1986,3.22
1985,3.75
1984,3.95
