County/unit,Fuel,Utility Fuel Mix,MWh from Claims on,Total MWh from Market,Total MWh
Alcoa,Biogas,0.00%,0,0,0
Alcoa,Biomass,0.11%,85,87,172
Alcoa,Coal,1.23%,0,"1,951","1,951"
Alcoa,Geothermal,0.00%,0,0,0
Alcoa,Hydro,86.75%,"134,575","2,529","137,103"
Alcoa,Natural Gas,0.71%,12,"1,103","1,114"
Alcoa,Nuclear,11.15%,"17,488",136,"17,624"
Alcoa,Other Biogenic,0.00%,0,0,0
Alcoa,Other Non-Biogenic,0.03%,0,46,46
Alcoa,Petroleum,0.02%,0,29,29
Alcoa,Solar,0.00%,0,0,0
Alcoa,Waste,0.00%,0,0,0
Alcoa,Wind,0.00%,0,0,0
Alcoa,Total,100.00%,"152,160","5,881","158,039"
Alder Mutual Light,Biogas,0.00%,0,0,0
Alder Mutual Light,Biomass,0.11%,3,3,5
Alder Mutual Light,Coal,1.23%,0,58,58
Alder Mutual Light,Geothermal,0.00%,0,0,0
Alder Mutual Light,Hydro,86.75%,"4,028",76,"4,103"
Alder Mutual Light,Natural Gas,0.71%,0,33,33
Alder Mutual Light,Nuclear,11.15%,523,4,527
Alder Mutual Light,Other Biogenic,0.00%,0,0,0
Alder Mutual Light,Other Non-Biogenic,0.03%,0,1,1
Alder Mutual Light,Petroleum,0.02%,0,1,1
Alder Mutual Light,Solar,0.00%,0,0,0
Alder Mutual Light,Waste,0.00%,0,0,0
Alder Mutual Light,Wind,0.00%,0,0,0
Alder Mutual Light,Total,100.00%,"4,554",176,"4,728"
Asotin County PUD #1,Biogas,0.00%,0,0,0
Asotin County PUD #1,Biomass,0.11%,3,3,5
Asotin County PUD #1,Coal,1.23%,0,61,61
Asotin County PUD #1,Geothermal,0.00%,0,0,0
Asotin County PUD #1,Hydro,86.75%,"4,208",79,"4,287"
Asotin County PUD #1,Natural Gas,0.71%,0,34,35
Asotin County PUD #1,Nuclear,11.15%,547,4,551
Asotin County PUD #1,Other Biogenic,0.00%,0,0,0
Asotin County PUD #1,Other Non-Biogenic,0.03%,0,1,1
Asotin County PUD #1,Petroleum,0.02%,0,1,1
Asotin County PUD #1,Solar,0.00%,0,0,0
Asotin County PUD #1,Waste,0.00%,0,0,0
Asotin County PUD #1,Wind,0.00%,0,0,0
Asotin County PUD #1,Total,100.00%,"4,758",183,"4,941"
Avista (WA),Biogas,0.00%,0,0,0
Avista (WA),Biomass,3.27%,"195,804",0,"195,804"
Avista (WA),Coal,14.84%,"889,734",0,"889,734"
Avista (WA),Geothermal,0.00%,0,0,0
Avista (WA),Hydro,44.75%,"2,682,694",0,"2,682,694"
Avista (WA),Natural Gas,32.01%,"1,918,899",0,"1,918,899"
Avista (WA),Nuclear,0.00%,0,0,0
Avista (WA),Other Biogenic,0.64%,"38,222",0,"38,222"
Avista (WA),Other Non-Biogenic,0.00%,0,0,0
Avista (WA),Petroleum,0.02%,"1,063",0,"1,063"
Avista (WA),Solar,0.00%,0,0,0
Avista (WA),Waste,0.61%,"36,723",0,"36,723"
Avista (WA),Wind,3.86%,"231,304",0,"231,304"
Avista (WA),Total,100.00%,"5,994,443",0,"5,994,443"
Benton County PUD #1,Biogas,0.00%,0,0,0
Benton County PUD #1,Biomass,0.17%,796,"2,091","2,887"
Benton County PUD #1,Coal,2.70%,0,"47,140","47,140"
Benton County PUD #1,Geothermal,0.00%,0,0,0
Benton County PUD #1,Hydro,76.30%,"1,270,966","61,098","1,332,064"
Benton County PUD #1,Natural Gas,5.62%,"71,504","26,639","98,143"
Benton County PUD #1,Nuclear,9.55%,"163,407","3,297","166,705"
Benton County PUD #1,Other Biogenic,0.00%,0,0,0
Benton County PUD #1,Other Non-Biogenic,0.06%,0,"1,110","1,110"
Benton County PUD #1,Petroleum,0.04%,0,699,699
Benton County PUD #1,Solar,0.08%,"1,432",0,"1,432"
Benton County PUD #1,Waste,0.00%,0,0,0
Benton County PUD #1,Wind,5.48%,"95,631",0,"95,631"
Benton County PUD #1,Total,100.00%,"1,603,736","142,074","1,745,811"
Benton Rural Electric Assn,Biogas,0.00%,0,0,0
Benton Rural Electric Assn,Biomass,0.18%,325,808,"1,133"
Benton Rural Electric Assn,Coal,2.87%,0,"18,205","18,205"
Benton Rural Electric Assn,Geothermal,0.00%,0,0,0
Benton Rural Electric Assn,Hydro,84.51%,"513,456","23,596","537,051"
Benton Rural Electric Assn,Natural Gas,1.63%,45,"10,288","10,333"
Benton Rural Electric Assn,Nuclear,10.70%,"66,723","1,273","67,996"
Benton Rural Electric Assn,Other Biogenic,0.00%,0,0,0
Benton Rural Electric Assn,Other Non-Biogenic,0.07%,0,429,429
Benton Rural Electric Assn,Petroleum,0.04%,0,270,270
Benton Rural Electric Assn,Solar,0.00%,0,0,0
Benton Rural Electric Assn,Waste,0.00%,0,0,0
Benton Rural Electric Assn,Wind,0.00%,0,0,0
Benton Rural Electric Assn,Total,100.00%,"580,549","54,869","635,417"
Big Bend Electric Coop,Biogas,0.00%,0,0,0
Big Bend Electric Coop,Biomass,0.11%,300,304,604
Big Bend Electric Coop,Coal,1.23%,0,"6,861","6,861"
Big Bend Electric Coop,Geothermal,0.00%,0,0,0
Big Bend Electric Coop,Hydro,86.75%,"473,251","8,892","482,144"
Big Bend Electric Coop,Natural Gas,0.71%,42,"3,877","3,919"
Big Bend Electric Coop,Nuclear,11.15%,"61,498",480,"61,978"
Big Bend Electric Coop,Other Biogenic,0.00%,0,0,0
Big Bend Electric Coop,Other Non-Biogenic,0.03%,0,162,162
Big Bend Electric Coop,Petroleum,0.02%,0,102,102
Big Bend Electric Coop,Solar,0.00%,0,0,0
Big Bend Electric Coop,Waste,0.00%,0,0,0
Big Bend Electric Coop,Wind,0.00%,0,0,0
Big Bend Electric Coop,Total,100.00%,"535,091","20,678","555,770"
BPA Federal Claimant (WA),Biogas,0.00%,0,0,0
BPA Federal Claimant (WA),Biomass,0.11%,377,383,760
BPA Federal Claimant (WA),Coal,1.23%,0,"8,629","8,629"
BPA Federal Claimant (WA),Geothermal,0.00%,0,0,0
BPA Federal Claimant (WA),Hydro,86.75%,"595,236","11,185","606,420"
