"state","puma12","county","tract","stab","cntyname","PUMAname","pop10","afact"
"State code","puma12","County code","Tract","State abbreviation","County name","PUMA12 name","Total population (2010)","puma12 to tract allocation factor"
"53","10100","53073","0001.00","WA","Whatcom WA","Whatcom County--Bellingham City",8998,0.045 
"53","10100","53073","0002.00","WA","Whatcom WA","Whatcom County--Bellingham City",9737,0.048 
"53","10100","53073","0003.00","WA","Whatcom WA","Whatcom County--Bellingham City",7430,0.037 
"53","10100","53073","0004.00","WA","Whatcom WA","Whatcom County--Bellingham City",6349,0.032 
"53","10100","53073","0005.01","WA","Whatcom WA","Whatcom County--Bellingham City",5189,0.026 
"53","10100","53073","0005.02","WA","Whatcom WA","Whatcom County--Bellingham City",2668,0.013 
"53","10100","53073","0006.00","WA","Whatcom WA","Whatcom County--Bellingham City",1638,0.008 
"53","10100","53073","0007.00","WA","Whatcom WA","Whatcom County--Bellingham City",6489,0.032 
"53","10100","53073","0008.03","WA","Whatcom WA","Whatcom County--Bellingham City",6275,0.031 
"53","10100","53073","0008.04","WA","Whatcom WA","Whatcom County--Bellingham City",6642,0.033 
"53","10100","53073","0008.05","WA","Whatcom WA","Whatcom County--Bellingham City",4966,0.025 
"53","10100","53073","0008.06","WA","Whatcom WA","Whatcom County--Bellingham City",7983,0.04 
"53","10100","53073","0009.01","WA","Whatcom WA","Whatcom County--Bellingham City",6638,0.033 
"53","10100","53073","0009.02","WA","Whatcom WA","Whatcom County--Bellingham City",5833,0.029 
"53","10100","53073","0010.00","WA","Whatcom WA","Whatcom County--Bellingham City",7138,0.035 
"53","10100","53073","0011.00","WA","Whatcom WA","Whatcom County--Bellingham City",6637,0.033 
"53","10100","53073","0012.01","WA","Whatcom WA","Whatcom County--Bellingham City",6489,0.032 
"53","10100","53073","0012.02","WA","Whatcom WA","Whatcom County--Bellingham City",3515,0.017 
"53","10100","53073","0101.00","WA","Whatcom WA","Whatcom County--Bellingham City",7895,0.039 
"53","10100","53073","0102.00","WA","Whatcom WA","Whatcom County--Bellingham City",8079,0.04 
"53","10100","53073","0103.01","WA","Whatcom WA","Whatcom County--Bellingham City",6792,0.034 
"53","10100","53073","0103.02","WA","Whatcom WA","Whatcom County--Bellingham City",4483,0.022 
"53","10100","53073","0103.03","WA","Whatcom WA","Whatcom County--Bellingham City",5103,0.025 
"53","10100","53073","0104.01","WA","Whatcom WA","Whatcom County--Bellingham City",8049,0.04 
"53","10100","53073","0104.03","WA","Whatcom WA","Whatcom County--Bellingham City",5130,0.026 
"53","10100","53073","0104.04","WA","Whatcom WA","Whatcom County--Bellingham City",6252,0.031 
"53","10100","53073","0105.01","WA","Whatcom WA","Whatcom County--Bellingham City",7274,0.036 
"53","10100","53073","0105.02","WA","Whatcom WA","Whatcom County--Bellingham City",7426,0.037 
"53","10100","53073","0106.00","WA","Whatcom WA","Whatcom County--Bellingham City",6480,0.032 
"53","10100","53073","0107.01","WA","Whatcom WA","Whatcom County--Bellingham City",6197,0.031 
"53","10100","53073","0107.02","WA","Whatcom WA","Whatcom County--Bellingham City",4382,0.022 
"53","10100","53073","0109.00","WA","Whatcom WA","Whatcom County--Bellingham City",964,0.005 
"53","10100","53073","0110.00","WA","Whatcom WA","Whatcom County--Bellingham City",1314,0.007 
"53","10100","53073","9400.00","WA","Whatcom WA","Whatcom County--Bellingham City",4706,0.023 
"53","10200","53029","9701.00","WA","Island WA","Skagit, Island & San Juan Counties",2604,0.012 
"53","10200","53029","9702.00","WA","Island WA","Skagit, Island & San Juan Counties",1633,0.008 
"53","10200","53029","9703.00","WA","Island WA","Skagit, Island & San Juan Counties",4989,0.024 
"53","10200","53029","9704.00","WA","Island WA","Skagit, Island & San Juan Counties",6131,0.029 
"53","10200","53029","9705.00","WA","Island WA","Skagit, Island & San Juan Counties",5494,0.026 
"53","10200","53029","9706.01","WA","Island WA","Skagit, Island & San Juan Counties",3186,0.015 
"53","10200","53029","9706.02","WA","Island WA","Skagit, Island & San Juan Counties",3291,0.016 
"53","10200","53029","9707.00","WA","Island WA","Skagit, Island & San Juan Counties",1922,0.009 
"53","10200","53029","9708.00","WA","Island WA","Skagit, Island & San Juan Counties",2706,0.013 
"53","10200","53029","9709.00","WA","Island WA","Skagit, Island & San Juan Counties",4801,0.023 
"53","10200","53029","9710.00","WA","Island WA","Skagit, Island & San Juan Counties",4776,0.023 
"53","10200","53029","9711.00","WA","Island WA","Skagit, Island & San Juan Counties",3289,0.016 
"53","10200","53029","9713.00","WA","Island WA","Skagit, Island & San Juan Counties",4393,0.021 
"53","10200","53029","9714.00","WA","Island WA","Skagit, Island & San Juan Counties",4400,0.021 
"53","10200","53029","9715.00","WA","Island WA","Skagit, Island & San Juan Counties",3394,0.016 
"53","10200","53029","9716.00","WA","Island WA","Skagit, Island & San Juan Counties",3817,0.018 
"53","10200","53029","9717.00","WA","Island WA","Skagit, Island & San Juan Counties",4050,0.019 
"53","10200","53029","9718.00","WA","Island WA","Skagit, Island & San Juan Counties",2452,0.012 
"53","10200","53029","9719.00","WA","Island WA","Skagit, Island & San Juan Counties",3750,0.018 
"53","10200","53029","9720.00","WA","Island WA","Skagit, Island & San Juan Counties",3938,0.019 
"53","10200","53029","9721.00","WA","Island WA","Skagit, Island & San Juan Counties",3490,0.017 
"53","10200","53055","9601.00","WA","San Juan WA","Skagit, Island & San Juan Counties",5354,0.025 
"53","10200","53055","9603.00","WA","San Juan WA","Skagit, Island & San Juan Counties",4761,0.023 
"53","10200","53055","9604.00","WA","San Juan WA","Skagit, Island & San Juan Counties",2901,0.014 
"53","10200","53055","9605.00","WA","San Juan WA","Skagit, Island & San Juan Counties",2753,0.013 
"53","10200","53057","9402.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2181,0.01 
"53","10200","53057","9403.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4880,0.023 
"53","10200","53057","9404.00","WA","Skagit WA","Skagit, Island & San Juan Counties",6839,0.032 
"53","10200","53057","9405.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2467,0.012 
"53","10200","53057","9406.00","WA","Skagit WA","Skagit, Island & San Juan Counties",1530,0.007 
"53","10200","53057","9407.00","WA","Skagit WA","Skagit, Island & San Juan Counties",1562,0.007 
"53","10200","53057","9408.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3010,0.014 
"53","10200","53057","9501.00","WA","Skagit WA","Skagit, Island & San Juan Counties",873,0.004 
"53","10200","53057","9508.00","WA","Skagit WA","Skagit, Island & San Juan Counties",6015,0.028 
"53","10200","53057","9509.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4071,0.019 
"53","10200","53057","9510.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2821,0.013 
"53","10200","53057","9511.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4715,0.022 
"53","10200","53057","9512.00","WA","Skagit WA","Skagit, Island & San Juan Counties",2989,0.014 
"53","10200","53057","9513.00","WA","Skagit WA","Skagit, Island & San Juan Counties",1853,0.009 
"53","10200","53057","9514.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4029,0.019 
"53","10200","53057","9515.00","WA","Skagit WA","Skagit, Island & San Juan Counties",9326,0.044 
"53","10200","53057","9516.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4352,0.021 
"53","10200","53057","9517.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3689,0.017 
"53","10200","53057","9518.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4418,0.021 
"53","10200","53057","9519.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3519,0.017 
"53","10200","53057","9521.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3310,0.016 
"53","10200","53057","9522.00","WA","Skagit WA","Skagit, Island & San Juan Counties",4144,0.02 
"53","10200","53057","9523.01","WA","Skagit WA","Skagit, Island & San Juan Counties",4562,0.022 
"53","10200","53057","9523.02","WA","Skagit WA","Skagit, Island & San Juan Counties",8722,0.041 
"53","10200","53057","9524.01","WA","Skagit WA","Skagit, Island & San Juan Counties",2831,0.013 
"53","10200","53057","9524.02","WA","Skagit WA","Skagit, Island & San Juan Counties",7408,0.035 
"53","10200","53057","9525.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3290,0.016 
"53","10200","53057","9526.00","WA","Skagit WA","Skagit, Island & San Juan Counties",3821,0.018 
