"county","tract","cbsa13","cntyname","cbsaname","pop10","afact"
"County code","Tract","cbsa13","County name","2013 CBSA name","Total population (2010)","tract to cbsa13 allocation factor"
"53001","9501.00","36830","Adams WA","Othello, WA (Micro)",2447,1 
"53001","9502.00","36830","Adams WA","Othello, WA (Micro)",1738,1 
"53001","9503.00","36830","Adams WA","Othello, WA (Micro)",6934,1 
"53001","9504.00","36830","Adams WA","Othello, WA (Micro)",2856,1 
"53001","9505.00","36830","Adams WA","Othello, WA (Micro)",4753,1 
"53003","9601.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",4304,1 
"53003","9602.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",4542,1 
"53003","9603.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",3775,1 
"53003","9604.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",2165,1 
"53003","9605.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",3424,1 
"53003","9606.00","30300","Asotin WA","Lewiston, ID-WA (Metro)",3413,1 
"53005","0101.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",4448,1 
"53005","0102.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",4295,1 
"53005","0102.02","28420","Benton WA","Kennewick-Richland, WA (Metro)",6060,1 
"53005","0103.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",5010,1 
"53005","0104.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",3617,1 
"53005","0105.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",3022,1 
"53005","0106.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",4296,1 
"53005","0107.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",2138,1 
"53005","0107.03","28420","Benton WA","Kennewick-Richland, WA (Metro)",2803,1 
"53005","0107.05","28420","Benton WA","Kennewick-Richland, WA (Metro)",5268,1 
"53005","0107.07","28420","Benton WA","Kennewick-Richland, WA (Metro)",2491,1 
"53005","0107.08","28420","Benton WA","Kennewick-Richland, WA (Metro)",2440,1 
"53005","0108.03","28420","Benton WA","Kennewick-Richland, WA (Metro)",6690,1 
"53005","0108.05","28420","Benton WA","Kennewick-Richland, WA (Metro)",5917,1 
"53005","0108.07","28420","Benton WA","Kennewick-Richland, WA (Metro)",1082,1 
"53005","0108.09","28420","Benton WA","Kennewick-Richland, WA (Metro)",6015,1 
"53005","0108.10","28420","Benton WA","Kennewick-Richland, WA (Metro)",4548,1 
"53005","0108.11","28420","Benton WA","Kennewick-Richland, WA (Metro)",3100,1 
"53005","0108.13","28420","Benton WA","Kennewick-Richland, WA (Metro)",9288,1 
"53005","0108.14","28420","Benton WA","Kennewick-Richland, WA (Metro)",2844,1 
"53005","0109.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",6177,1 
"53005","0109.02","28420","Benton WA","Kennewick-Richland, WA (Metro)",4907,1 
"53005","0110.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",4975,1 
"53005","0110.02","28420","Benton WA","Kennewick-Richland, WA (Metro)",4475,1 
"53005","0111.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",7365,1 
"53005","0112.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",8552,1 
"53005","0113.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",5067,1 
"53005","0114.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",3810,1 
"53005","0114.02","28420","Benton WA","Kennewick-Richland, WA (Metro)",5016,1 
"53005","0115.01","28420","Benton WA","Kennewick-Richland, WA (Metro)",6740,1 
"53005","0115.03","28420","Benton WA","Kennewick-Richland, WA (Metro)",9380,1 
"53005","0115.04","28420","Benton WA","Kennewick-Richland, WA (Metro)",2975,1 
"53005","0116.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",931,1 
"53005","0117.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",7076,1 
"53005","0118.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",6546,1 
"53005","0119.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",5808,1 
"53005","0120.00","28420","Benton WA","Kennewick-Richland, WA (Metro)",5,1 
"53007","9601.00","48300","Chelan WA","Wenatchee, WA (Metro)",2369,1 
"53007","9602.00","48300","Chelan WA","Wenatchee, WA (Metro)",6251,1 
"53007","9603.00","48300","Chelan WA","Wenatchee, WA (Metro)",6396,1 
"53007","9604.00","48300","Chelan WA","Wenatchee, WA (Metro)",3813,1 
"53007","9605.00","48300","Chelan WA","Wenatchee, WA (Metro)",6831,1 
"53007","9606.00","48300","Chelan WA","Wenatchee, WA (Metro)",4064,1 
"53007","9607.00","48300","Chelan WA","Wenatchee, WA (Metro)",3455,1 
"53007","9608.01","48300","Chelan WA","Wenatchee, WA (Metro)",2666,1 
"53007","9608.02","48300","Chelan WA","Wenatchee, WA (Metro)",7202,1 
"53007","9610.00","48300","Chelan WA","Wenatchee, WA (Metro)",6800,1 
"53007","9611.00","48300","Chelan WA","Wenatchee, WA (Metro)",9596,1 
"53007","9612.00","48300","Chelan WA","Wenatchee, WA (Metro)",3762,1 
"53007","9613.01","48300","Chelan WA","Wenatchee, WA (Metro)",1327,1 
"53007","9613.02","48300","Chelan WA","Wenatchee, WA (Metro)",7921,1 
"53009","0002.00","38820","Clallam WA","Port Angeles, WA (Micro)",1783,1 
"53009","0003.00","38820","Clallam WA","Port Angeles, WA (Micro)",4695,1 
"53009","0004.00","38820","Clallam WA","Port Angeles, WA (Micro)",1758,1 
"53009","0006.00","38820","Clallam WA","Port Angeles, WA (Micro)",3370,1 
"53009","0007.00","38820","Clallam WA","Port Angeles, WA (Micro)",3534,1 
"53009","0008.00","38820","Clallam WA","Port Angeles, WA (Micro)",4181,1 
"53009","0009.00","38820","Clallam WA","Port Angeles, WA (Micro)",2806,1 
"53009","0010.00","38820","Clallam WA","Port Angeles, WA (Micro)",2477,1 
"53009","0011.00","38820","Clallam WA","Port Angeles, WA (Micro)",2969,1 
"53009","0012.00","38820","Clallam WA","Port Angeles, WA (Micro)",3771,1 
"53009","0013.00","38820","Clallam WA","Port Angeles, WA (Micro)",3090,1 
"53009","0014.00","38820","Clallam WA","Port Angeles, WA (Micro)",4510,1 
