"county","tract","state","puma12","stab","cntyname","PUMAname","pop10","afact"
"County code","Tract","State code","puma12","State abbreviation","County name","PUMA12 name","Total population (2010)","tract to puma12 allocation factor"
"53001","9501.00","53","10600","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2447,1 
"53001","9502.00","53","10600","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",1738,1 
"53001","9503.00","53","10600","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",6934,1 
"53001","9504.00","53","10600","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2856,1 
"53001","9505.00","53","10600","WA","Adams WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4753,1 
"53003","9601.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4304,1 
"53003","9602.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",4542,1 
"53003","9603.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3775,1 
"53003","9604.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2165,1 
"53003","9605.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3424,1 
"53003","9606.00","53","10600","WA","Asotin WA","Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",3413,1 
"53005","0101.00","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",4448,1 
"53005","0102.01","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",4295,1 
"53005","0102.02","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",6060,1 
"53005","0103.00","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",5010,1 
"53005","0104.00","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",3617,1 
"53005","0105.00","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",3022,1 
"53005","0106.00","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",4296,1 
"53005","0107.01","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",2138,1 
"53005","0107.03","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",2803,1 
"53005","0107.05","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",5268,1 
"53005","0107.07","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",2491,1 
"53005","0107.08","53","10701","WA","Benton WA","Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities",2440,1 
"53005","0108.03","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",6690,1 
"53005","0108.05","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",5917,1 
"53005","0108.07","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",1082,1 
"53005","0108.09","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",6015,1 
"53005","0108.10","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",4548,1 
"53005","0108.11","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",3100,1 
"53005","0108.13","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",9288,1 
"53005","0108.14","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",2844,1 
"53005","0109.01","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",6177,1 
"53005","0109.02","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",4907,1 
"53005","0110.01","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",4975,1 
"53005","0110.02","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",4475,1 
"53005","0111.00","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",7365,1 
"53005","0112.00","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",8552,1 
"53005","0113.00","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",5067,1 
"53005","0114.01","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",3810,1 
"53005","0114.02","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",5016,1 
"53005","0115.01","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",6740,1 
"53005","0115.03","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",9380,1 
"53005","0115.04","53","10702","WA","Benton WA","Benton County (East Central)--Kennewick & Richland (South) Cities",2975,1 
"53005","0116.00","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",931,1 
"53005","0117.00","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",7076,1 
"53005","0118.00","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",6546,1 
"53005","0119.00","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",5808,1 
"53005","0120.00","53","10703","WA","Benton WA","Walla Walla, Benton (Outer) & Franklin (Outer) Counties",5,1 
"53007","9601.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",2369,1 
"53007","9602.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",6251,1 
"53007","9603.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",6396,1 
"53007","9604.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",3813,1 
"53007","9605.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",6831,1 
"53007","9606.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",4064,1 
"53007","9607.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",3455,1 
"53007","9608.01","53","10300","WA","Chelan WA","Chelan & Douglas Counties",2666,1 
"53007","9608.02","53","10300","WA","Chelan WA","Chelan & Douglas Counties",7202,1 
"53007","9610.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",6800,1 
"53007","9611.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",9596,1 
"53007","9612.00","53","10300","WA","Chelan WA","Chelan & Douglas Counties",3762,1 
"53007","9613.01","53","10300","WA","Chelan WA","Chelan & Douglas Counties",1327,1 
"53007","9613.02","53","10300","WA","Chelan WA","Chelan & Douglas Counties",7921,1 
