state,fips,padd,electricity_price_series,heating_oil_price_type,heating_oil_price_series,gasoline_price_type,gasoline_price_series,natural_gas_price_series,propane_series_type,propoane_price_series
AL,1,30,ELEC.PRICE.AL-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R30_DPG.M,NG.N3010AL3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
AK,2,50,ELEC.PRICE.AK-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,X,PET.EMM_EPM0_PTE_R5XCA_DPG.M,NG.N3010AK3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
AZ,4,50,ELEC.PRICE.AZ-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R50_DPG.M,NG.N3010AZ3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
AR,5,30,ELEC.PRICE.AR-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R30_DPG.M,NG.N3010AR3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
CA,6,50,ELEC.PRICE.CA-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,S,PET.EMM_EPM0_PTE_SCA_DPG.M,NG.N3010CA3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
CO,8,40,ELEC.PRICE.CO-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,S,PET.EMM_EPM0_PTE_SCO_DPG.M,NG.N3010CO3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
CT,9,1X,ELEC.PRICE.CT-RES.M,S,PET.W_EPD2F_PRS_SCT_DPG.W,P,PET.EMM_EPM0_PTE_R1X_DPG.M,NG.N3010CT3.M,P,PET.M_EPLLPA_PRS_R1X_DPG.M
DC,11,1Y,ELEC.PRICE.DC-RES.M,S,PET.W_EPD2F_PRS_SDC_DPG.W,P,PET.EMM_EPM0_PTE_R1Y_DPG.M,NG.N3010DC3.M,P,PET.M_EPLLPA_PRS_R1Y_DPG.M
DE,10,1Y,ELEC.PRICE.DE-RES.M,S,PET.W_EPD2F_PRS_SDE_DPG.W,P,PET.EMM_EPM0_PTE_R1Y_DPG.M,NG.N3010DE3.M,P,PET.M_EPLLPA_PRS_R1Y_DPG.M
FL,12,1Z,ELEC.PRICE.FL-RES.M,P,PET.W_EPD2F_PRS_R1Z_DPG.W,S,PET.EMM_EPM0_PTE_SFL_DPG.M,NG.N3010FL3.M,P,PET.M_EPLLPA_PRS_R1Z_DPG.M
GA,13,1Z,ELEC.PRICE.GA-RES.M,P,PET.W_EPD2F_PRS_R1Z_DPG.W,P,PET.EMM_EPM0_PTE_R1Z_DPG.M,NG.N3010GA3.M,P,PET.M_EPLLPA_PRS_R1Z_DPG.M
HI,15,50,ELEC.PRICE.HI-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,X,PET.EMM_EPM0_PTE_R5XCA_DPG.M,NG.N3010HI3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
ID,16,40,ELEC.PRICE.ID-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R40_DPG.M,NG.N3010ID3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
IL,17,20,ELEC.PRICE.IL-RES.M,S,PET.W_EPD2F_PRS_SIL_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010IL3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
IN,18,20,ELEC.PRICE.IN-RES.M,S,PET.W_EPD2F_PRS_SIN_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010IN3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
IA,19,20,ELEC.PRICE.IA-RES.M,S,PET.W_EPD2F_PRS_SIA_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010IA3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
KS,20,20,ELEC.PRICE.KS-RES.M,P,PET.W_EPD2F_PRS_R20_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010KS3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
KY,21,20,ELEC.PRICE.KY-RES.M,S,PET.W_EPD2F_PRS_SKY_DPG.W,P,PET.EMM_EPM0_PTE_R20_DPG.M,NG.N3010KY3.M,P,PET.M_EPLLPA_PRS_R20_DPG.M
LA,22,30,ELEC.PRICE.LA-RES.M,N,PET.W_EPD2F_PRS_NUS_DPG.W,P,PET.EMM_EPM0_PTE_R30_DPG.M,NG.N3010LA3.M,N,PET.M_EPLLPA_PRS_NUS_DPG.M
