Utility.Name,Ownership,count,util_name,category,util_fm
Alcoa Power Marketing LLC,Retail Power Marketer,1,Alcoa Power Marketing LLC,other,Alcoa
Alder Mutual Light Co Inc,NA,11,Alder Mutual Light Co Inc,cooperative,Alder Mutual Light
"Alder Mutual Light Co, Inc",Cooperative,11,Alder Mutual Light Co Inc,cooperative,Alder Mutual Light
Avangrid Renewables,Retail Power Marketer,4,Avangrid Renewables,pud,Asotin County PUD #1
Avista Corp,Investor Owned,21,Avista Corp,investor,Avista (WA)
Avista Corp,NA,2,Avista Corp,investor,Avista (WA)
Avista Energy Inc,NA,2,Avista Energy Inc,other,
Avista Energy Inc,Power Marketer,1,Avista Energy Inc,other,
Avista Energy Inc,Retail Power Marketer,1,Avista Energy Inc,other,
Avista Energy Inc,Wholesale Power Marketer,3,Avista Energy Inc,other,
Benton Rural Electric Assn,Cooperative,21,Benton Rural Electric Assn,cooperative,Benton Rural Electric Assn
Benton Rural Electric Assn,NA,11,Benton Rural Electric Assn,cooperative,Benton Rural Electric Assn
Big Bend Electric Coop Inc,NA,11,Big Bend Electric Coop Inc,cooperative,Big Bend Electric Coop
"Big Bend Electric Coop, Inc",Cooperative,21,Big Bend Electric Coop Inc,cooperative,Big Bend Electric Coop
Blaine City of,Municipal,1,Blaine,municipal,City of Blaine
Blaine City of,NA,11,Blaine,municipal,City of Blaine
City of Blaine,Municipal,10,Blaine,municipal,City of Blaine
City of Blaine - (WA),Municipal,8,Blaine,municipal,City of Blaine
Bonneville Power Admin,Federal,7,Bonneville Power Admin,federal,
Bonneville Power Admin,NA,10,Bonneville Power Admin,federal,
Bonneville Power Administration,Federal,2,Bonneville Power Administration,federal,
BP Energy Company,Retail Power Marketer,10,BP Energy Company,other,
BP Energy Company,Wholesale Power Marketer,2,BP Energy Company,other,
"Calpine Energy Solutions, LLC",Retail Power Marketer,6,"Calpine Energy Solutions, LLC",other,
Cashmere City of,Municipal,1,Cashmere,municipal,
Cashmere City of,NA,11,Cashmere,municipal,
City of Cashmere,Municipal,7,Cashmere,municipal,
Centralia City of,Municipal,1,Centralia,municipal,Centralia City Light
Centralia City of,NA,11,Centralia,municipal,Centralia City Light
City of Centralia,Municipal,9,Centralia,municipal,Centralia City Light
City of Centralia - (WA),Municipal,11,Centralia,municipal,Centralia City Light
Cheney City of,Municipal,1,Cheney,municipal,Cheney Light Department
Cheney City of,NA,11,Cheney,municipal,Cheney Light Department
City of Cheney,Municipal,10,Cheney,municipal,Cheney Light Department
City of Cheney - (WA),Municipal,8,Cheney,municipal,Cheney Light Department
