unit,Name,Name2,type
Alcoa,,,
Alder Mutual Light,Alder Mutual Light Company,,P
Asotin County PUD #1,Asotin County PUD No. 1,,P
Avista (WA),Avista Energy,Avista Corp,I
Benton County PUD #1,Benton County Public Utility District,PUD No 1 of Benton County,P
Benton Rural Electric Assn,Benton Rural Electric Association,Benton Rural Electric Assn,P
Big Bend Electric Coop,"Big Bend Electric Cooperative, Inc.","Big Bend Electric Coop, Inc",P
BPA Federal Claimant (WA),,,
Centralia City Light,City of Centralia,City of Centralia - (WA),P
Chelan County PUD #1,Chelan County PUD No. 1,PUD No 1 of Chelan County,P
Cheney Light Department,City of Cheney Light Department,City of Cheney - (WA),P
Chewelah Electric Department,City of Chewelah,,P
City of Blaine,City of Blaine,City of Blaine - (WA),P
Clallam County PUD #1,Clallam County PUD No. 1,PUD No 1 of Clallam County,P
Clark County PUD #1,Clark Public Utilities,PUD No 1 of Clark County - (WA),P
Clearwater Power (WA),Clearwater Power Company,Clearwater Power Company,P
Columbia Rural Electric Assn (WA),"Columbia Rural Electric Association, Inc.","Columbia Rural Elec Assn, Inc",P
"Coulee Dam, Town of",Town of Coulee Dam,,P
Cowlitz County PUD #1,Cowlitz County Public Utility District,PUD No 1 of Cowlitz County,P
Douglas County PUD #1,Douglas County PUD No. 1,PUD No 1 of Douglas County,P
Eatonville Electric Department,Town of Eatonville,,P
Ellensburg Electric Division,City of Ellensburg,City of Ellensburg - (WA),P
Elmhurst Mutual Power & Light,Elmhurst Mutual Power & Light Company,Elmhurst Mutual Power & Light Co,P
Ferry County PUD #1,Ferry County PUD No. 1,PUD No 1 of Ferry County,P
Franklin County PUD #1,"Franklin County PUD, No. 1",PUD No 1 of Franklin County,P
Grant County PUD #2,Grant County PUD No. 2,PUD No 2 of Grant County,P
Grays Harbor County PUD #1,Grays Harbor County PUD,PUD No 1 of Grays Harbor County,P
Inland Power & Light,Inland Power & Light Company,Inland Power & Light Company,P
Jefferson County PUD #1,Public Utility District No. 1 of Jefferson County,PUD No 1 of Jefferson County,P
Kittitas County PUD #1,Kittitas County PUD No. 1,,P
Klickitat County PUD #1,Klickitat County PUD,PUD No 1 of Klickitat County,P
Kootenai Electric Coop,"Kootenai Electric Cooperative, Inc.",Kootenai Electric Cooperative,P
Lakeview Light & Power,Lakeview Light & Power Company,Lakeview Light & Power,P
Lewis County PUD #1,Lewis County PUD No. 1,PUD No 1 of Lewis County,P
Mason County PUD #1,Mason County PUD No. 1,,P
Mason County PUD #3,Mason County PUD No. 3,PUD No 3 of Mason County,P
McCleary Light & Power,City of McCleary Light & Power,,P
Milton Electric Division,Town of Milton,,P
Modern Electric Water Company,Modern Electric Water Company,Modern Electric Water Company,P
Nespelem Valley Elec Coop,"Nespelem Valley Electric Coop., Inc.",,P
Northern Lights (WA),"Northern Lights, Inc.","Northern Lights, Inc",P
Ohop Mutual Light,Ohop Mutual Light Company,"Ohop Mutual Light Company, Inc",P
Okanogan County Electric Coop,"Okanogan County Electric Cooperative, Inc.","Okanogan County Elec Coop, Inc",P
Okanogan County PUD #1,Okanogan County PUD No. 1,PUD No 1 of Okanogan County,P
Orcas Power & Light Coop,Orcas Power & Light Cooperative,Orcas Power & Light Coop,P
Pacific County PUD #2,Pacific County PUD No. 2,PUD No 2 of Pacific County,P
Pacific Power (WA),PacifiCorp,PacifiCorp,I
Parkland Light & Water,Parkland Light and Water Company,Parkland Light & Water Company,P
Pend Oreille County PUD #1,Pend Oreille County PUD No. 1,PUD No 1 of Pend Oreille County,P
Peninsula Light,"Peninsula Light Company, Inc.",Peninsula Light Company,P
Port Angeles Light Operations,Port Angeles City Light,City of Port Angeles - (WA),P
Port of Seattle,Port of Seatlle,City of Seattle - (WA),P
Port Townsend,,,
Puget Sound Energy,Puget Sound Energy,Puget Sound Energy Inc,I
Richland Energy Services,City of Richland,City of Richland - (WA),P
"Ruston, Town of",,,
Skamania County PUD #1,Skamania County Public Utility District,PUD No 1 of Skamania Co,P
Snohomish County PUD #1,Snohomish County PUD No. 1,PUD 1 of Snohomish County,P
Steilacoom Electric Utility,Town of Steilacoom,Town of Steilacoom,P
"Sumas, City of",City of Sumas,,P
Tacoma Power,Tacoma Public Utilities,City of Tacoma - (WA),P
Tanner Electric Coop,Tanner Electric Cooperative,Tanner Electric Coop,P
Vera Water & Power,Vera Water & Power,Vera Irrigation District #15,P
Wahkiakum County PUD #1,Wahkiakum County PUD No. 1,,P
Whatcom County PUD #1,Whatcom County PUD No. 1,PUD No 1 of Whatcom County,P
Yakama Power,Yakama Power,,T
